Villes,REGION
METZ,Nord_Est
NANCY,Nord_Est
STRASBOURG,Nord_Est
BESANCON,Nord_Est
DIJON,Nord_Est
TROYES,Nord_Est
VALENCIENNES,Nord_Est
ARRAS,Nord_Est
LILLES,Nord_Est
ST_ETIENNE,Sud_Est
MARSEILLE,Sud_Est
TOULON,Sud_Est
NICE,Sud_Est
BASTIA,Sud_Est
CLERMONT_FERRAND,Sud_Est
DIGNE,Sud_Est
GRENOBLE,Sud_Est
LYON,Sud_Est
NIMES,Sud_Est
CHAMBERY,Sud_Est
VALENCE,Sud_Est
BORDEAUX,Sud_Ouest
TARBES,Sud_Ouest
PAU,Sud_Ouest
FOIX,Sud_Ouest
PERIGUEUX,Sud_Ouest
CARCASSONNE,Sud_Ouest
RODEZ,Sud_Ouest
LIMOGES,Sud_Ouest
ANGOULEME,Sud_Ouest
ROUEN,Nord_Ouest
AMIENS,Nord_Ouest
ST_BRIEUC,Nord_Ouest
QUIMPER,Nord_Ouest
ALENCON,Nord_Ouest
TOURS,Nord_Ouest
BOURGES,Nord_Ouest
ANGERS,Nord_Ouest
NANTES,Nord_Ouest
PARIS_NORD,Region_parisienne
PARIS_SUD,Region_parisienne
NANTERRE,Region_parisienne
CRETEIL,Region_parisienne
MELUN,Region_parisienne
EVRY,Region_parisienne
VERSAILLES,Region_parisienne
CERGY_PONTOISE,Region_parisienne
BOBIGNY,Region_parisienne
